state,city,2010population,2011population,2012population,2013population,2014population,2015population,2016population, populationRecent,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,countDNR,countZero,countReport
New York,Alexandria Bay Village,1114,1083,1100,1128,1107,1109,1102,1102,0,0,0,0,0,0,0,0,DNR,0,0,0,0, DNR,0, DNR,0,0,0,0,0,0,0, DNR,0,0,0,0,4,24,0
Illinois,Alexis,No Data,No Data,No Data,No Data,No Data,815,805,805,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,20,8,0
New York,Alfred Village,4933,4193,No Data,4089,4032,3992,4039,4039,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0
Wisconsin,Algoma,3130,3181,3177,3143,3116,3103,3079,3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
Iowa,Algona,2838,3061,3104,3123,3116,3158,5453,5453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Michigan,Algonac,4445,4107,No Data,No Data,No Data,No Data,No Data,4107,0,0,0,0,0,0,0,1,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,20,7,1
Illinois,Algonquin,No Data,No Data,30159,29980,30566,30497,30673,30673,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,17,3
Tennessee,Algood,3472,3527,3555,3517,3577,3618,3770,3770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
California,Alhambra,84987,84066,84469,84710,84931,86175,86035,86035,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,23,5
Texas,Alice,19690,19506,19627,19673,19689,19463,19464,19464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Alabama,Aliceville,2423,No Data,No Data,No Data,No Data,No Data,No Data,2423,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,24,4,0
Pennsylvania,Aliquippa,10497,9468,9437,9323,9288,9197,9150,9150,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0, DNR,3,25,0
California,Aliso Viejo,41989,48385,48999,50005,50671,50751,50604,50604,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3
Michigan,Allegan,4770,4994,4994,5055,5059,5088,5086,5086,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,2
New York,Allegany Village,1715,1824,1814,1781,1769,1756,1726,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,0,0,1,27,0
Pennsylvania,"Allegheny Township, Blair County",6967,6759,6747,6726,6638,6643,6652,6652,0,0,0,DNR,0,DNR,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,4,24,0
Pennsylvania,"Allegheny Township, Westmoreland County",8288,8190,8161,8332,8315,8262,8213,8213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,1,27,0
Texas,Allen,1015,942,88783,91289,93889,96642,101020,101020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
Michigan,Allen Park,24833,28189,27941,27601,27549,27422,27284,27284,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
New Jersey,Allendale,3510,6527,3424,3272,3218,3133,3064,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
New Jersey,Allenhurst,699,498,499,493,492,487,490,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0, DNR,0,0,0,1,25,2
New Jersey,Allentown,108473,118408,119334,119277,1812,119335,120615,120615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,1,27,0
Ohio,Alliance,8005,8567,22293,8510,22191,22023,22012,22012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Arkansas,Alma,355,403,401,759,758,745,742,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Michigan,Almont,2691,2672,2669,2678,2668,2700,2734,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Illinois,Alorton,2500,No Data,No Data,No Data,No Data,No Data,No Data,2500,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,24,4,0
Michigan,Alpena,10184,10475,10418,10299,10253,10193,10119,10119,0,2,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4
New Jersey,Alpha,2382,2377,2374,2314,2316,2298,2291,2291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Georgia,Alpharetta,50392,58309,60031,63442,63478,64419,64943,64943,0,0,0,0,0,0,0,0,0,0,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0
New Jersey,Alpine,882,835,6091,5985,6058,5953,5939,5939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Illinois,Alsip,No Data,19335,19371,19461,19493,19462,19357,19357,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0
New Hampshire,Alstead,2090,1940,1936,1938,1930,1924,1911,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Illinois,Altamont,1054,1087,1081,1066,1042,1042,1041,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
New York,Altamont Village,1676,1728,1725,1720,1723,1727,1721,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Florida,Altamonte Springs,39774,42062,42296,42040,42301,No Data,No Data,42301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,8,20,0
Virginia,Altavista,3340,3491,3500,3486,3499,3462,3478,3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,1
Florida,Altha,514,543,548,536,538,No Data,No Data,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,8,20,0
Georgia,Alto,1157,1187,1185,1159,1163,No Data,No Data,1163,0,0,0,0,0,0,0,0,0,0,0,DNR, DNR,0, DNR, DNR,0,0, DNR, DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,14,14,0
Illinois,Alton,12349,12601,14178,14756,15311,15895,16137,16137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Iowa,Altoona,6658,6735,6806,7018,7141,7267,7446,7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
California,Alturas,2733,2860,2802,2681,2615,2566,2549,2549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Oklahoma,Altus,18983,20025,19936,19634,19531,19456,19093,19093,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
Oklahoma,Alva,4822,4998,4914,4901,5052,5232,5227,5227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Texas,Alvarado,4379,3865,3888,3813,3821,3937,4058,4058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Texas,Alvin,23399,24746,25145,25110,25252,25842,26100,26100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1
Texas,Amarillo,190393,194708,196576,196577,197724,198770,200141,200141,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
Ohio,Amberley Village,3563,3588,No Data,3585,3600,3602,No Data,3602,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0, DNR,0,0,0,0,0,0, DNR, DNR, DNR,DNR,DNR,DNR,DNR,15,13,0
Pennsylvania,Ambler,6228,6437,6465,6514,6515,6522,6517,6517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, DNR,0,0,0,0,0,1,26,1
Illinois,Amboy,2523,2508,2459,2392,2369,2356,2330,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Pennsylvania,Ambridge,6948,7072,7051,6963,6931,6858,6822,6822,0,DNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0
Ohio,Amelia,3644,4805,4844,4870,4919,4948,4957,4957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
California,American Canyon,17507,19683,19873,20068,No Data,No Data,No Data,20068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,12,16,0
California,American Canyon ,No Data,No Data,No Data,No Data,20379,20687,20746,20746,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0
Idaho,American Falls,4075,4506,4458,4404,4351,4275,4291,4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
