State,Agency type,Agency name,q01,q02,q02,q04,Population,From,,,
,,Commerce,0,1,1,0,"8,229",Addendum,,,
,,Copperas Cove,0,0,1,0,"33,009",Addendum,,,
,,Corpus Christi,1,1,2,0,"312,565",Addendum,,,
,,Dallas,3,13,12,2,"1,241,549",Addendum,,,
,,El Paso,2,0,2,0,"675,536",Addendum,,,
,,Everman,0,0,0,1,"6,342",Addendum,,,
,,Garland,0,1,0,0,"234,984",Addendum,,,
,,Gladewater,0,0,1,0,"6,612",Addendum,,,
,,Greenville,0,0,1,0,"26,061",Addendum,,,
,,Hickory Creek,0,0,1,0,"3,414",Addendum,,,
,,Houston,4,2,4,3,"2,177,273",Addendum,,,
,,Kilgore,1,0,0,0,"13,306",Addendum,,,
,,Kyle,0,0,2,0,"29,732",Addendum,,,
,,Lake Jackson,0,0,1,0,"27,862",Addendum,,,
,,Lewisville,2,2,4,0,"100,216",Addendum,,,
,,Missouri City,0,0,1,0,"70,819",Addendum,,,
,,North Richland Hills,0,0,0,1,"65,750",Addendum,,,
,,Richwood,0,1,0,0,"3,642",Addendum,,,
,,Round Rock,0,2,0,0,"106,232",Addendum,,,
,,San Antonio,1,5,4,7,"1,380,123",Addendum,,,
,,Socorro,0,0,0,1,"33,326",Addendum,,,
,,University Park,0,0,1,0,"23,842",Addendum,,,
,,Wichita Falls,0,2,0,1,"105,488",Addendum,,,
,,Wolfe City,0,0,1,0,"1,440",Addendum,,,
,Universities and Colleges,,,,,,,Addendum,,,
,,Angelo State University,0,0,0,1,"7,084",Addendum,,,
,,Southern Methodist University,1,0,0,0,"10,982",Addendum,,,
,,Sul Ross State University,0,0,1,0,"2,940",Addendum,,,
,,Texas Christian University,0,1,0,0,"9,518",Addendum,,,
,,"University of Texas, Austin",0,0,1,0,"51,112",Addendum,,,
,Metropolitan Counties,,,,,,,Addendum,,,
,,Bexar,1,0,0,0,,Addendum,,,
,,Brazos,0,1,0,0,,Addendum,,,
,,Fort Bend,0,0,1,0,,Addendum,,,
,,Hunt,0,0,0,1,,Addendum,,,
,,Kaufman,0,2,0,0,,Addendum,,,
,,Lubbock,0,0,0,2,,Addendum,,,
,,Randall,1,0,1,0,,Addendum,,,
,,Williamson,1,1,0,0,,Addendum,,,
,Nonmetropolitan Counties,,,,,,,Addendum,,,
,,Oldham,0,1,0,0,,Addendum,,,
