state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,,,
,,Spring Valley Village,0,0,0,2,"32,586",,,
,,Yonkers,0,4,1,1,"200,624",,,
,,Yorktown Town,0,0,0,1,"36,989",,,
,Universities and Colleges,,,,,,,,,
,,Cornell University,0,1,0,0,"21,593",,,
,,State University of New York: ,,,,,,,,
,,Binghamton,1,0,0,0,"16,077",,,
,,Stony Brook,1,0,1,0,"24,143",,,
,,State University of New York Agricultural and Technical College:,,,,,,,,
,,Cobleskill,0,0,0,1,"2,453",,,
,,Morrisville,3,0,0,0,"3,028",,,
,,State University of New York College:,,,,,,,,
,,Buffalo,1,1,0,0,"11,091",,,
,,New Paltz,0,0,1,0,"7,578",,,
,,Oneonta,0,0,0,1,"6,034",,,
,,Oswego,1,0,0,0,"8,117",,,
,,Potsdam,1,1,0,1,"4,042",,,
,Metropolitan Counties,,,,,,,,,
,,Erie,0,0,1,0,,,,
,,Nassau,7,16,13,5,,,,
,,Niagara,0,1,0,0,,,,
,,Ontario,0,0,1,0,,,,
,,Suffolk County Police Department,15,20,19,24,,,,
,,Washington,0,0,0,1,,,,
,,Westchester Public Safety,1,0,0,0,,,,
,State Police Agencies,,,,,,,,,
,,State Police:,,,,,,,,
,,Chenango County ,0,1,0,0,,,,
,,Columbia County ,0,1,0,0,,,,
,,Essex County ,0,0,2,0,,,,
,,Herkimer County ,0,1,0,0,,,,
,,Orange County ,0,1,0,0,,,,
,,Otsego County ,1,0,0,0,,,,
,,Suffolk County ,0,1,0,0,,,,
,,Tompkins County ,0,0,1,0,,,,
,,Washington County ,0,1,0,0,,,,
,Other Agencies,,,,,,,,,
,,New York City Metropolitan Transportation Authority,1,4,0,5,,,,
,,State Park:,,,,,,,,
,,Long Island Region,0,4,1,2,,,,
,,New York City Region,0,0,0,1,,,,
North Carolina,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Asheville,2,0,0,2,"88,184",,,
,,Burlington,0,1,0,0,"51,627",,,
,,Chapel Hill,1,0,1,0,"60,190",,,
,,Charlotte-Mecklenburg,6,10,5,4,"856,916",,,
,,Fayetteville,0,6,1,1,"205,306",,,
,,Greensboro,0,3,0,3,"282,203",,,
,,Greenville,1,0,2,1,"90,198",,,
,,High Point,0,2,0,0,"108,540",,,
,,Hillsborough,0,1,1,0,"6,451",,,
,,Hope Mills,1,3,0,0,"16,399",,,
,,Jacksonville,0,1,0,0,"68,651",,,
,,Lenoir,0,1,0,0,"17,994",,,
,,Mount Airy,0,0,0,1,"10,420",,,
,,Oxford,2,0,1,0,"8,748",,,
,,Raleigh,1,5,10,9,"438,363",,,
,,Roanoke Rapids,2,1,0,0,"15,602",,,
,,Salisbury,1,0,0,0,"33,627",,,
,,Stallings,1,0,0,0,"14,848",,,
,,Waynesville,0,0,1,0,"9,712",,,
,,Williamston,0,0,1,0,"5,345",,,
,,Wilmington,3,2,0,1,"113,418",,,
,,Wilson,2,1,0,1,"49,731",,,
,Universities and Colleges,,,,,,,,,
,,East Carolina University,0,1,1,2,"26,887",,,
,,Fayetteville State University,0,0,1,0,"6,179",,,
,,North Carolina School of the Arts,1,0,0,0,912,,,
,,University of North Carolina:,,,,,,,,
,,Asheville,1,0,0,0,"3,784",,,
,,Wilmington,1,0,0,0,"13,937",,,
,,Western Carolina University,0,0,1,0,"10,107",,,
,Metropolitan Counties,,,,,,,,,
,,Buncombe,0,1,1,1,,,,
,,Cumberland,0,0,0,1,,,,
,,Currituck,1,0,1,0,,,,
,,Forsyth,0,2,2,1,,,,
,,Gaston County Police Department,0,2,0,0,,,,
,,Guilford,0,3,1,0,,,,
,,Iredell,0,0,1,0,,,,
,,New Hanover,0,0,1,0,,,,
,,Rockingham,0,0,0,1,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Pasquotank,1,0,0,2,,,,
,,Surry,0,0,0,1,,,,
,,Wilkes,0,1,0,0,,,,
North Dakota,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Bismarck,0,4,3,1,"68,492",,,
,,Devils Lake,0,1,0,0,"7,286",,,
,,Fargo,1,5,0,3,"115,686",,,
,,Grand Forks,0,1,1,0,"55,438",,,
,,Mandan,0,1,0,0,"20,253",,,
,,Minot,1,1,0,0,"47,682",,,
,,Rolla,0,1,0,0,"1,350",,,
,,Tioga,0,0,0,1,"1,661",,,
,,West Fargo,0,2,2,2,"30,970",,,
,Metropolitan Counties,,,,,,,,,
,,Cass,1,0,0,1,,,,
,,Morton,0,1,0,1,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Bottineau,1,0,0,0,,,,
,,Dunn,0,0,1,0,,,,
,,McLean,0,0,1,0,,,,
,,Rolette,1,0,0,0,,,,
,,Ward,0,1,0,0,,,,
Ohio,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Akron,1,0,3,0,"197,891",,,
,,Athens,0,0,1,0,"24,083",,,
,,Austintown,0,0,0,1,"35,997",,,
,,Barberton,0,1,1,0,"26,286",,,
,,Bath Township: Summit County,1,0,0,0,"9,805",,,
,,Bellbrook,1,0,0,0,"7,044",,,
,,Bellefontaine,0,0,0,1,"13,156",,,
,,Brunswick Hills Township,0,1,0,0,"10,202",,,
,,Butler Township,0,0,0,1,"7,864",,,
,,Canton,0,1,0,0,"72,391",,,
,,Carroll Township,0,0,1,0,"2,121",,,
,,Celina,0,2,1,0,"10,370",,,
,,Cincinnati,8,22,13,11,"297,671",,,
,,Circleville,1,0,0,0,"13,469",,,
,,Cleveland,0,3,0,2,"388,655",,,
,,Columbus2,30,42,44,33,"830,811",,,
,,Dayton,1,1,3,5,"143,217",,,
,,East Palestine,1,0,0,0,"4,601",,,
,,Forest Park,0,0,0,1,"18,724",,,
,,Garfield Heights,3,3,2,1,"28,273",,,
,,Grove City,3,2,0,0,"37,945",,,
,,Groveport,0,1,0,0,"5,700",,,
,,Hamilton Township: Warren County,1,0,0,0,"21,920",,,
,,Heath,0,1,0,0,"10,485",,,
,,Hubbard,1,0,0,0,"7,724",,,
,,Huber Heights,0,1,0,1,"38,137",,,
,,Hudson,0,0,1,0,"22,526",,,
,,Independence,0,1,0,0,"7,147",,,
,,Jackson Township: Stark County,0,0,0,1,"40,645",,,
,,Lakewood,0,0,1,2,"50,923",,,
,,Lancaster,1,2,0,1,"39,453",,,
,,Leipsic,1,0,0,0,"2,035",,,
,,Lima,,,1,0,"38,265",,,
,,Lockland,0,1,0,2,"3,434",,,
,,Lorain,1,1,3,3,"63,619",,,
,,Louisville,0,0,1,0,"9,150",,,
,,Mansfield,0,0,2,0,"46,145",,,
,,Marysville,0,1,0,0,"22,460",,,
,,Mason,0,0,0,1,"31,416",,,
,,Maumee,0,0,0,1,"14,062",,,
,,Medina,1,0,0,1,"26,551",,,
,,Miamisburg,0,2,0,0,"20,109",,,
,,Milton Township,0,1,0,0,"2,488",,,
,,Minster,1,0,0,0,"2,835",,,
,,Monroe,1,,,,"15,498",,,
,,Montgomery,0,0,0,1,"10,395",,,
,,Montpelier,0,0,1,0,"4,048",,,
,,Moraine,1,0,0,1,"6,331",,,
,,Mount Healthy,1,0,0,0,"6,051",,,
,,Napoleon,0,1,1,0,"8,687",,,
,,New Albany,0,0,0,1,"9,111",,,
,,Newton Falls,0,0,0,1,"4,701",,,
,,Niles,0,0,1,0,"18,848",,,
,,Northwood,0,0,1,0,"5,364",,,
,,Norwood,1,0,1,1,"19,027",,,
,,Oregon,0,0,1,0,"20,207",,,
,,Parma,0,1,0,2,"80,168",,,
,,Pomeroy,1,0,0,0,"1,842",,,
,,Powell,0,1,0,0,"12,410",,,
,,Powhatan Point,0,0,1,0,"1,577",,,
,,Springfield,0,0,0,1,"58,891",,,
,,Springfield Township: Hamilton County,0,0,1,0,"36,479",,,
,,St. Clair Township,0,0,1,0,"7,793",,,
,,Streetsboro,1,0,0,0,"16,152",,,
,,Tipp City,0,1,0,0,"9,839",,,
,,Toledo,2,8,8,2,"281,150",,,
,,Trotwood,0,1,0,0,"24,193",,,
,,Urbana,1,0,1,0,"11,584",,,
,,Van Wert,1,0,0,0,"10,763",,,
,,Walbridge,1,0,0,0,"3,068",,,
,,Warren,0,1,0,0,"40,592",,,
,,Warren Township,0,1,0,0,"5,395",,,
,,Washington Court House,0,1,0,0,"14,072",,,
,,Wauseon,0,1,0,0,"7,292",,,
,,Weathersfield,1,0,0,0,"8,145",,,
,,West Chester Township,0,0,0,1,"59,629",,,
,,Westerville,1,1,0,0,"37,836",,,
,,Wilmington,0,2,0,2,"12,455",,,
,,Worthington,0,1,1,0,"13,903",,,
,,Xenia,1,1,1,1,"25,932",,,
,,Zanesville,1,0,0,0,"25,415",,,
,Universities and Colleges,,,,,,,,,
,,Capital University,0,0,0,2,"3,628",,,
,,Ohio State University: Columbus,1,0,1,0,"57,466",,,
,Metropolitan Counties,,,,,,,,,
,,Butler,0,1,0,0,,,,
,,Clark,1,0,0,0,,,,
,,Fairfield,1,0,0,0,,,,
,,Greene,0,3,1,3,,,,
,,Madison,0,1,0,0,,,,
,,Montgomery,2,0,0,0,,,,
,,Perry,0,0,1,0,,,,
,,Portage,1,,,,,,,
,,Richland,1,1,0,0,,,,
,,Summit,0,0,0,2,,,,
,,Warren,0,1,0,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Ashland,0,0,1,0,,,,
,,Auglaize,0,1,0,0,,,,
,,Coshocton,0,0,0,1,,,,
,,Fayette,0,0,0,1,,,,
,,Knox,0,1,0,0,,,,
,,Morgan,1,0,0,0,,,,
,,Muskingum,0,1,0,0,,,,
,,Paulding,0,0,2,0,,,,
,,Preble,1,0,0,0,,,,
,,Ross,0,0,0,3,,,,
,,Shelby,0,0,0,1,,,,
Oklahoma,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Bethany,1,0,0,0,"19,683",,,
,,Catoosa,1,0,0,0,"7,161",,,
,,Edmond,0,0,0,2,"88,383",,,
,,Fort Gibson,0,0,1,0,"4,115",,,
,,Hobart,0,1,0,0,"3,694",,,
,,Mooreland,0,0,1,0,"1,285",,,
,,Muskogee,0,2,1,0,"38,759",,,
,,Norman,0,1,0,0,"119,956",,,
,,Oklahoma City,2,3,4,0,"617,975",,,
,,Sapulpa,1,0,1,0,"20,896",,,
,,The Village,0,1,0,0,"9,336",,,
,,Woodward,0,0,0,1,"12,980",,,
,Universities and Colleges,,,,,,,,,
,,University of Central Oklahoma,0,1,1,0,"17,220",,,
,Nonmetropolitan Counties,,,,,,,,,
,,Delaware,1,0,0,0,,,,
,,Marshall,0,0,1,0,,,,
,,Payne,0,3,0,0,,,,
,,Tillman,0,0,1,0,,,,
,,Woodward,0,1,0,0,,,,
Oregon,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Grants Pass,0,1,0,0,"35,192",,,
,,Independence,1,0,0,0,"8,672",,,
,,Madras,1,0,0,,"6,376",,,
,,Medford,0,0,1,0,"78,356",,,
,,Pendleton,0,0,0,1,"17,006",,,
,,Redmond,0,1,0,0,"27,733",,,
,,Reedsport,0,0,1,0,"4,075",,,
,,Salem,2,0,2,0,"162,028",,,
,,Springfield,1,2,1,2,"60,377",,,
,,Sutherlin,0,2,0,0,"7,729",,,
,Metropolitan Counties,,,,,,,,,
,,Deschutes,1,0,0,0,,,,
,,Yamhill,1,0,0,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Douglas,0,0,1,1,,,,
,,Hood River,0,0,2,0,,,,
,,Wasco,,0,1,0,,,,
Pennsylvania,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Abington Township: Montgomery County,0,0,0,2,"55,628",,,
,,Allentown,0,1,0,0,"118,710",,,
,,Economy,1,1,3,0,"9,323",,,
,,Ferguson Township,0,0,0,1,"18,198",,,
,,Hazleton,0,0,0,1,"25,023",,,
,,Horsham Township2,0,1,0,0,"26,481",,,
,,Lehighton,0,0,0,1,"5,395",,,
,,Mercersburg,0,0,0,1,"1,557",,,
,,Philadelphia,1,6,3,1,"1,559,062",,,
,,Pittsburgh,1,1,3,4,"307,613",,,
,,Portage,1,0,0,0,"2,550",,,
,,Reading,0,1,1,0,"87,848",,,
,,Scranton,0,0,1,0,"75,749",,,
,,Southwest Mercer County Regional,0,0,0,1,"10,160",,,
,,State College,0,0,0,1,"56,551",,,
,,Washington Township: Franklin County,0,0,0,1,"14,468",,,
,Universities and Colleges,,,,,,,,,
,,Lock Haven University,1,0,0,0,"5,260",,,
,,Pennsylvania State University:,,,,,,,,
,,Altoona,1,0,0,0,"3,861",,,
,,University Park,2,2,0,0,"46,615",,,
,State Police Agencies,,,,,,,,,
,,State Police:,,,,,,,,
,,Huntingdon County,0,1,0,0,,,,
,,Skippack ,0,0,1,1,,,,
,,Perry County,0,0,1,,,,,
Rhode Island,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Charlestown,1,0,0,0,"7,798",,,
,,Pawtucket,0,0,1,0,"71,443",,,
,,Providence,0,0,0,1,"178,640",,,
,,West Warwick,1,0,0,0,"28,934",,,
South Carolina,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Abbeville,0,0,1,0,"5,163",,,
,,Bluffton,0,0,1,0,"13,755",,,
,,Cayce,0,1,0,0,"12,939",,,
,,Charleston,1,0,0,1,"129,867",,,
,,Chester,0,0,1,0,"5,529",,,
,,Columbia,0,1,0,1,"134,124",,,
,,Darlington,1,0,0,0,"6,223",,,
,,Landrum,0,0,2,,"2,458",,,
,,Lexington,0,0,1,0,"19,998",,,
,,Mauldin,0,0,1,0,"24,869",,,
,,Moncks Corner,1,0,0,0,"9,471",,,
,,Myrtle Beach,0,1,0,0,"29,686",,,
,,Pacolet,1,0,0,0,"2,297",,,
,,Simpsonville,0,1,0,0,"19,918",,,
,,St. George,1,0,1,,"2,157",,,
,,Ware Shoals,1,1,0,0,"2,171",,,
,,Winnsboro,0,3,0,0,"3,395",,,
,Universities and Colleges,,,,,,,,,
,,University of South Carolina: Upstate,0,1,0,0,"5,445",,,
,Metropolitan Counties,,,,,,,,,
,,Anderson,0,1,0,0,,,,
,,Greenville,1,0,0,0,,,,
,,Lancaster,0,1,1,0,,,,
,,Pickens,0,1,1,0,,,,
,,Richland,0,0,0,1,,,,
,,Spartanburg,0,0,0,1,,,,
,,Sumter,0,0,1,1,,,,
,,York,1,0,0,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Abbeville,1,0,0,1,,,,
,,Cherokee,1,0,4,,,,,
,,Greenwood,0,1,0,0,,,,
,,Orangeburg,0,0,0,2,,,,
,,Williamsburg,1,1,0,0,,,,
,State Police Agencies,,,,,,,,,
,,Highway Patrol: Greenwood County,1,0,0,0,,,,
South Dakota,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Aberdeen,,,1,,"27,629",,,
,,Canton,0,0,1,0,"3,321",,,
,,Rapid City,2,0,1,0,"71,481",,,
,,Sioux Falls,0,0,0,2,"167,339",,,
,,Spearfish,0,0,2,1,"11,246",,,
,,Sturgis,1,0,0,0,"6,950",,,
,,Vermillion,1,0,0,0,"10,723",,,
,,Watertown,0,1,1,0,"22,118",,,
,Metropolitan Counties,,,,,,,,,
,,Minnehaha,0,0,0,1,,,,
,,Pennington,0,1,0,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Charles Mix,0,1,0,0,,,,
,,Hamlin,0,1,0,0,,,,
Tennessee,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Atoka,0,3,2,2,"8,926",,,
,,Baxter,0,1,0,0,"1,397",,,
,,Benton,0,1,0,0,"1,316",,,
,,Bristol,2,0,5,1,"26,603",,,
,,Camden,0,0,0,1,"3,630",,,
,,Chattanooga,2,4,2,3,"174,449",,,
,,Clarksville,3,4,2,4,"144,639",,,
,,Columbia,0,3,0,0,"35,760",,,
,,Covington,0,0,0,7,"9,060",,,
,,Crossville,0,1,0,0,"11,339",,,
,,Decaturville,0,0,1,0,869,,,
,,Dyersburg,0,0,1,0,"16,970",,,
,,Elizabethton,1,1,0,1,"14,375",,,
,,Gallatin,1,0,0,0,"32,756",,,
,,Greeneville,4,7,4,14,"15,011",,,
,,Jackson,0,0,0,1,"67,869",,,
,,Jefferson City,0,0,3,0,"8,211",,,
,,Kingston,1,0,0,0,"5,843",,,
,,Knoxville,0,3,3,3,"184,362",,,
,,Lebanon,0,0,1,0,"28,963",,,
,,Mason,0,0,1,0,"1,608",,,
,,Memphis,1,7,3,2,"654,922",,,
,,Millington,0,2,1,0,"11,095",,,
,,Monteagle,0,0,0,1,"1,177",,,
,,Morristown,0,0,0,1,"29,401",,,
,,Munford,2,4,2,1,"6,046",,,
,,Nashville,3,5,1,2,"647,689",,,
,,Parsons,1,0,0,0,"2,345",,,
,,Ridgely,1,0,0,0,"1,759",,,
,,Savannah,0,0,1,0,"7,134",,,
,,Sharon,0,0,0,1,920,,,
,,Spring Hill,0,0,1,0,"33,472",,,
,,Tullahoma,0,0,0,1,"18,887",,,
,Universities and Colleges,,,,,,,,,
,,Middle Tennessee State University,0,2,1,1,"23,881",,,
,,Vanderbilt University,1,0,0,0,"12,757",,,
,Metropolitan Counties,,,,,,,,,
,,Cheatham,0,0,0,1,,,,
,,Hamilton,0,0,1,1,,,,
,,Jefferson,0,1,0,0,,,,
,,Knox,0,0,2,1,,,,
,,Marion,0,0,3,0,,,,
,,Montgomery,0,0,0,1,,,,
,,Robertson,1,0,0,0,,,,
,,Rutherford,1,0,0,0,,,,
,,Shelby,4,3,3,7,,,,
,,Sullivan,1,0,0,0,,,,
,,Washington,0,0,2,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Claiborne,0,0,1,0,,,,
,,Lauderdale,0,0,0,1,,,,
,,Lewis,0,0,1,0,,,,
,,Monroe,0,0,1,0,,,,
,,Overton,0,0,0,1,,,,
,,Van Buren,0,0,2,0,,,,
,Other Agencies,,,,,,,,,
,,Nashville International Airport,0,1,0,0,,,,
Texas,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Austin,0,2,0,2,"903,924",,,
,,Baytown,0,0,,1,"76,253",,,
,,Beaumont,2,1,1,0,"117,898",,,
,,Brownwood,1,0,0,0,"18,890",,,
,,Cedar Park,0,0,1,0,"63,681",,,
,,Center,0,0,1,0,"5,302",,,
,,College Station,0,0,1,0,"101,483",,,
,,Conroe,0,1,0,0,"64,446",,,
,,Corpus Christi,1,1,3,1,"319,211",,,
,,Dallas,1,11,2,1,"1,272,396",,,
,,Denison,1,1,0,1,"22,838",,,
,,El Paso,0,0,0,1,"680,273",,,
,,Fort Worth,0,0,0,3,"804,907",,,
,,Freer,0,0,1,0,"2,778",,,
,,Galveston,0,1,1,0,"48,961",,,
,,Garland,1,0,0,0,"236,414",,,
,,Georgetown,0,1,0,0,"56,782",,,
,,Gilmer,0,0,2,0,"5,168",,,
,,Harlingen,1,0,0,0,"65,808",,,
,,Hempstead,0,2,0,0,"6,482",,,
,,Houston,3,4,3,6,"2,219,933",,,
,,Iowa Park,0,1,0,0,"6,404",,,
,,Keller,0,0,0,1,"43,711",,,
,,Kilgore,1,0,0,0,"14,789",,,
,,Killeen,0,1,0,0,"139,211",,,
,,Lampasas,0,1,0,1,"6,957",,,
,,Lancaster,1,0,0,0,"38,402",,,
,,League City,0,1,0,0,"92,790",,,
,,Longview,3,2,1,0,"81,659",,,
,,Lubbock,0,1,0,0,"241,826",,,
,,McKinney,2,1,4,1,"152,806",,,
,,Mercedes,0,0,0,1,"16,488",,,
,,New Braunfels,0,0,1,1,"64,622",,,
,,Odessa,0,1,2,0,"113,619",,,
,,Pearland,2,0,1,1,"102,516",,,
,,Richardson,0,0,2,0,"105,744",,,
,,Rockwall,1,0,0,0,"41,688",,,
,,San Antonio,6,4,3,1,"1,428,465",,,
,,Sherman,1,0,0,0,"39,522",,,
,,South Padre Island,1,0,0,0,"2,916",,,
,,Spur,0,2,0,0,"1,226",,,
,,Sugar Land,0,0,0,1,"85,055",,,
,,Tomball,3,0,0,0,"11,214",,,
,,Vernon,0,0,1,0,"10,589",,,
,,Victoria,0,0,1,0,"65,726",,,
,,Wichita Falls,0,1,1,0,"104,949",,,
,Universities and Colleges,,,,,,,,,
,,Paris Junior College,1,,1,0,"5,301",,,
,,Sul Ross State University,0,0,1,0,"2,842",,,
,,Tarleton State University,0,0,0,1,"13,307",,,
,,Texas A&M University: Corpus Christi,1,0,0,0,"10,913",,,
,,Texas Christian University,0,1,1,0,"9,925",,,
,,Texas State University: San Marcos,0,1,0,0,"35,546",,,
,Metropolitan Counties,,,,,,,,,
,,Harris,0,0,1,0,,,,
,,Kaufman,0,1,1,0,,,,
,,Travis,0,0,1,0,,,,
,,Williamson,0,2,0,0,,,,
,Other Agencies,,,,,,,,,
,,Independent School District: Pflugerville,0,1,0,0,,,,
Utah,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Bountiful,0,1,1,0,"43,115",,,
,,Brigham City,1,1,1,1,"18,579",,,
,,Centerville,0,1,0,0,"16,953",,,
,,Clinton,0,1,0,0,"21,029",,,
,,Farmington,0,1,0,0,"22,471",,,
,,Murray,0,0,0,1,"49,083",,,
,,North Salt Lake,0,2,0,0,"17,170",,,
,,Ogden,0,0,1,0,"84,557",,,
,,Roosevelt,0,0,2,2,"6,935",,,
,,Salt Lake City,0,0,0,1,"192,368",,,
,,Tooele,0,0,0,1,"32,502",,,
,,Tremonton,2,0,0,0,"7,965",,,
,,West Bountiful,0,1,0,0,"5,398",,,
,,West Jordan,0,1,0,0,"111,618",,,
,,West Valley,2,1,1,2,"134,590",,,
,Universities and Colleges,,,,,,,,,
,,University of Utah,1,0,1,0,"32,077",,,
,Metropolitan Counties,,,,,,,,,
,,Davis,0,0,0,1,,,,
,,Salt Lake County Unified Police Department,1,3,0,0,,,,
,,Tooele,0,1,1,1,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Carbon,1,0,0,0,,,,
,,Duchesne,0,0,0,1,,,,
,State Police Agencies,,,,,,,,,
,,Utah Highway Patrol,1,3,0,1,,,,
,Other Agencies,,,,,,,,,
,,Utah Transit Authority,1,0,2,1,,,,
Vermont,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Bellows Falls,0,1,0,0,"3,058",,,
,,Burlington,2,0,0,0,"42,252",,,
,,Essex,0,0,1,1,"20,755",,,
,,Manchester,1,0,0,0,"4,335",,,
,,Middlebury,0,1,1,,"8,504",,,
,,Randolph,0,0,0,1,"4,752",,,
,,South Burlington,1,2,0,0,"18,779",,,
,,Winooski,0,0,0,1,"7,232",,,
,Universities and Colleges,,,,,,,,,
,,University of Vermont,1,0,0,0,"12,723",,,
,Nonmetropolitan Counties,,,,,,,,,
,,Lamoille,1,0,0,0,,,,
Virginia,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Alexandria,0,0,1,0,"151,065",,,
,,Bristol,0,1,0,0,"17,225",,,
,,Charlottesville,0,0,2,0,"44,574",,,
,,Chesapeake,4,1,1,0,"232,489",,,
,,Falls Church,0,1,0,0,"13,794",,,
,,Fredericksburg,0,1,0,1,"29,158",,,
,,Front Royal,0,0,1,0,"15,009",,,
,,Hampton,0,1,0,1,"136,590",,,
,,Harrisonburg,0,1,1,0,"52,026",,,
,,Leesburg,0,1,0,0,"48,913",,,
,,Lynchburg,0,0,1,0,"78,639",,,
,,Manassas,0,2,0,0,"42,641",,,
,,Newport News,2,0,2,0,"182,374",,,
,,Norfolk,1,2,5,4,"247,078",,,
,,Portsmouth,0,0,3,1,"96,435",,,
,,Purcellville,0,1,0,0,"8,821",,,
,,Rich Creek,1,0,0,0,760,,,
,,Richmond,1,0,2,0,"216,747",,,
,,Staunton,0,0,0,1,"24,499",,,
,,Suffolk,0,1,0,0,"85,987",,,
,,Vienna,0,1,0,0,"16,527",,,
,,Virginia Beach,3,2,1,2,"451,102",,,
,,West Point,2,0,0,0,"3,345",,,
,Universities and Colleges,,,,,,,,,
,,George Mason University,0,2,0,1,"33,917",,,
,,Northern Virginia Community College,1,0,0,0,"51,803",,,
,,Radford University,0,0,0,1,"9,928",,,
,Metropolitan Counties,,,,,,,,,
,,Albemarle County Police Department,1,0,1,1,,,,
,,Amherst,0,0,1,0,,,,
,,Arlington County Police Department,0,0,1,2,,,,
,,Bedford,0,1,0,0,,,,
,,Chesterfield County Police Department,1,0,1,1,,,,
,,Clarke,0,0,1,0,,,,
,,Dinwiddie,0,1,0,,,,,
,,Fairfax County Police Department,1,5,5,3,,,,
,,Fluvanna,1,0,0,0,,,,
,,Goochland,0,0,0,1,,,,
,,Greene,0,0,1,1,,,,
,,Henrico County Police Department,1,0,1,0,,,,
,,Loudoun,0,0,1,0,,,,
,,New Kent,0,0,1,0,,,,
,,Powhatan,0,1,0,0,,,,
,,Prince George County Police Department,0,0,1,0,,,,
,,Roanoke County Police Department,0,0,3,1,,,,
,,Spotsylvania,0,0,0,1,,,,
,,Stafford,0,3,2,0,,,,
,,Warren,1,0,0,0,,,,
,,York,0,1,0,0,,,,
,Nonmetropolitan Counties,,,,,,,,,
,,Accomack,1,0,0,0,,,,
,,Pittsylvania,0,0,0,2,,,,
,,Tazewell,0,1,0,0,,,,
Washington,Total,,,,,,,,,
,Cities,,,,,,,,,
,,Aberdeen,0,1,0,0,"16,243",,,
,,Auburn,1,0,0,1,"76,020",,,
,,Bainbridge Island,0,0,2,0,"23,228",,,
,,Bellingham,1,1,2,0,"83,048",,,
,,Bonney Lake,1,0,0,0,"18,519",,,
,,Bothell,4,0,0,0,"36,087",,,
,,Bremerton,1,1,1,0,"39,359",,,
,,Burien,1,2,0,0,"50,284",,,
,,Centralia,2,0,0,0,"16,677",,,
,,Colfax,0,0,1,0,"2,856",,,
,,East Wenatchee,1,0,0,0,"13,539",,,
,,Eatonville,0,1,0,0,"2,824",,,
,,Everett,,,2,1,"105,911",,,
,,Federal Way,1,2,0,1,"93,551",,,
,,Fife,1,0,2,2,"9,479",,,
,,Fircrest,0,0,1,0,"6,644",,,
,,Kent,3,4,6,3,"125,837",,,
,,Kirkland,2,0,0,1,"85,352",,,
,,Lacey,0,1,0,1,"45,525",,,
,,Lakewood,1,2,0,2,"59,313",,,
,,Longview,1,0,0,0,"36,459",,,
,,Monroe,0,1,1,0,"17,826",,,
,,Moses Lake,0,0,0,1,"21,580",,,
,,Mountlake Terrace,1,0,0,0,"20,871",,,
,,Mount Vernon,0,0,1,0,"32,805",,,
,,Normandy Park,1,1,0,1,"6,610",,,
,,Ocean Shores,0,0,1,0,"5,622",,,
,,Olympia,0,0,0,2,"48,763",,,
,,Port Angeles,1,0,0,0,"19,220",,,
,,Port Townsend,0,0,1,0,"9,231",,,
,,Pullman,1,0,0,1,"31,810",,,
,,Puyallup,1,0,1,1,"39,016",,,
,,Quincy,0,1,0,0,"7,355",,,
,,Renton,4,5,4,4,"98,240",,,
,,Ridgefield,0,0,0,1,"5,856",,,
,,Ritzville,0,0,1,0,"1,681",,,
,,Sammamish,1,0,0,0,"51,016",,,
,,Seattle,21,27,29,30,"663,410",,,
,,Sequim,1,0,0,1,"6,682",,,
,,Shelton,0,0,2,0,"9,724",,,
,,Spokane2,1,4,1,5,"211,025",,,
,,Spokane Valley,1,1,2,0,"91,382",,,
,,Tacoma,4,1,0,0,"204,722",,,
,,Vancouver,0,4,1,1,"168,688",,,
,,Walla Walla,0,2,3,3,"31,833",,,
,,Woodinville,2,0,0,0,"11,408",,,
,,Yakima,0,2,1,0,"93,667",,,
,Universities and Colleges,,,,,,,,,
,,University of Washington,0,2,0,5,"43,762",,,
,,Washington State University: Pullman,0,1,0,0,"27,642",,,
,,Western Washington University,0,0,0,1,"14,950",,,
,Metropolitan Counties,,,,,,,,,
,,Clark,1,1,0,0,,,,
,,King,2,2,4,4,,,,
,,Kitsap,1,0,0,1,,,,
,,Pend Oreille,0,0,1,0,,,,
,,Pierce,1,0,0,1,,,,
