Year,State,AgencyType,Agency Name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
,,,Inglewood,0,0,0,1,111997
,,,Ione,1,0,0,0,6773
,,,Irvine,0,1,2,1,242971
,,,Laguna Niguel,0,0,1,0,65033
,,,Lake Forest,1,0,0,1,79748
,,,Lancaster,1,4,0,0,160190
,,,La Puente,0,0,1,0,40583
,,,La Quinta,0,1,1,0,39753
,,,Livermore,3,0,0,0,86147
,,,Lomita,0,0,0,1,20677
,,,Long Beach,2,4,2,2,471123
,,,Los Angeles,26,35,47,44,3906772
,,,Los Gatos,0,1,2,1,30614
,,,Lynwood,1,1,1,0,71812
,,,Malibu,0,0,0,1,12912
,,,Mammoth Lakes,0,2,0,0,8033
,,,Manteca,1,0,0,0,73055
,,,Marina,2,0,0,0,20530
,,,Menifee,0,1,0,0,84843
,,,Merced,0,1,0,0,81603
,,,Modesto,1,1,1,1,205820
,,,Monrovia,0,1,0,0,37225
,,,Montclair,1,1,1,0,38347
,,,Monterey,0,0,2,0,28512
,,,Monterey Park,0,0,1,0,61284
,,,Moorpark,1,0,0,0,35299
,,,Moreno Valley,0,0,0,4,202911
,,,Murrieta,0,0,0,1,108376
,,,National City,1,0,0,0,60130
,,,Newark,0,2,0,0,44467
,,,Newport Beach,1,0,1,0,87759
,,,Norco,0,1,0,0,26933
,,,Norwalk,1,6,2,2,106838
,,,Oakland,2,4,4,4,409994
,,,Oceanside,2,1,0,1,174102
,,,Orange,1,1,0,1,140767
,,,Oxnard,1,2,0,1,204159
,,,Palmdale,0,2,0,1,158210
,,,Palm Springs,1,2,0,0,46665
,,,Palo Alto,0,2,1,0,67169
,,,Paramount,0,2,0,0,55194
,,,Pasadena,0,0,0,4,140373
,,,Paso Robles,1,0,1,0,31117
,,,Pico Rivera,0,1,0,0,63970
,,,Piedmont,0,0,1,0,11170
,,,Pittsburg,1,0,0,0,67509
,,,Placentia,0,0,1,1,52513
,,,Pomona,0,2,0,0,151899
,,,Poway,0,0,0,1,49786
,,,Rancho Cucamonga,0,0,0,2,172694
,,,Red Bluff,1,0,1,1,14103
,,,Redding,0,2,1,1,91426
,,,Redlands,1,0,1,1,70295
,,,Redondo Beach,1,3,0,0,68075
,,,Ripon2,1,1,0,0,14859
,,,Riverside,4,4,2,3,319453
,,,Roseville,1,1,0,1,128997
,,,Sacramento,1,2,2,2,482767
,,,Salinas,0,1,0,0,156908
,,,San Bernardino,1,0,0,0,214588
,,,San Clemente,0,0,2,0,65397
,,,San Diego,7,13,11,6,1368690
,,,San Dimas,0,0,0,1,33953
,,,San Francisco,7,5,5,5,850294
,,,San Jose,2,1,6,2,1009679
,,,San Leandro,0,2,0,0,88690
,,,San Luis Obispo,0,0,1,0,46672
,,,San Marcos,0,0,1,0,90799
,,,San Mateo,1,1,0,0,102082
,,,San Rafael,1,0,1,0,59292
,,,San Ramon,0,1,0,0,75049
,,,Santa Ana,1,2,2,2,336462
,,,Santa Clarita,1,5,1,1,206930
,,,Santa Cruz,4,4,0,0,63440
,,,Santa Monica,0,0,1,0,93151
,,,Santee,0,0,1,0,56737
,,,Sierra Madre,0,1,0,0,11090
,,,Simi Valley,1,1,1,1,126604
,,,Sonora,1,0,1,0,4786
,,,South Gate,0,0,1,0,95981
,,,Stockton,1,1,1,0,299519
,,,Sunnyvale,1,0,0,0,149384
,,,Taft,0,0,1,0,8895
,,,Tehachapi,0,0,1,0,12997
,,,Temple City,1,1,0,0,36272
,,,Torrance,0,0,1,0,147971
,,,Tracy,0,1,1,0,85078
,,,Turlock,0,0,1,0,70786
,,,Twentynine Palms,0,1,0,0,25936
,,,Ukiah,0,0,0,1,15836
,,,Union City,2,1,0,0,73268
,,,Vacaville,0,0,0,1,94701
,,,Ventura,0,0,0,1,109246
,,,Victorville,0,0,1,2,122316
,,,Visalia,1,1,0,0,128488
,,,Vista,1,1,0,1,97651
,,,Walnut Creek,0,0,0,2,67555
,,,Waterford,0,1,0,0,8646
,,,West Covina,1,0,0,1,108136
,,,West Hollywood,1,3,1,2,35507
,,,Windsor,0,0,0,1,27350
,,,Yorba Linda,1,0,0,0,67702
,,,Yuba City,0,0,1,0,65525
,,,Yucaipa,0,1,0,0,52794
,,,Yucca Valley,0,0,1,0,21228
,,Universities and Colleges,,,,,,
,,,"California State Polytechnic University, San Luis Obispo",0,0,0,1,19703
,,,California State University: ,,,,,
,,,East Bay,0,0,1,0,14526
,,,San Jose,0,0,2,0,31278
,,,Riverside Community College,1,0,0,0,36233
,,,University of California: ,,,,,
,,,Berkeley,2,4,2,0,36198
,,,Davis,0,2,1,0,33307
,,,San Diego,0,0,2,0,29517
,,Metropolitan Counties,,,,,,
,,,Fresno,1,0,0,0,
,,,Imperial,0,1,0,0,
,,,Los Angeles,5,7,5,1,
,,,Marin,0,1,0,0,
,,,Merced,0,1,0,0,
,,,Orange,1,1,0,0,
,,,Riverside,0,1,2,0,
,,,Sacramento,2,2,2,0,
,,,San Bernardino,1,0,2,1,
,,,San Diego,3,6,5,3,
,,,San Mateo,1,0,0,0,
,,,Santa Barbara,0,1,1,0,
,,,Santa Clara,0,1,1,2,
,,,Santa Cruz,0,4,2,1,
,,,Shasta,1,0,0,0,
,,,Sonoma,0,1,0,0,
,,,Stanislaus,0,0,1,0,
,,,Ventura,1,1,1,0,
,,,Yolo,1,0,0,0,
,,,Yuba2,2,0,0,1,
,,Nonmetropolitan Counties,,,,,,
,,,Amador,1,0,0,0,
,,,Calaveras,1,0,0,1,
,,,Glenn,1,0,0,0,
,,,Humboldt,0,1,0,0,
,,,Tuolumne,0,0,1,1,
,,State Police Agencies,,,,,,
,,,"Highway Patrol, San Diego County",0,0,1,0,
,,Other Agencies,,,,,,
,,,"Department of Parks and Recreation, San Diego Coast ",0,1,0,0,
,,,Los Angeles County Metropolitan Transportation Authority,0,0,0,1,
,,,Los Angeles Transportation Services Bureau,1,3,6,5,
,,,Port of San Diego Harbor,2,0,0,1,
,,,San Francisco Bay Area Rapid Transit: ,,,,,
,,,Alameda County,0,4,1,1,
,,,Contra Costa County,1,2,1,0,
,,,San Francisco County,1,1,0,0,
,Colorado,Total,,,,,,
,,Cities,,,,,,
,,,Arvada,0,1,0,0,113008
,,,Aurora,1,1,2,0,350948
,,,Brighton,0,0,0,1,36185
,,,Canon City,1,0,0,0,16291
,,,Castle Rock,0,0,1,1,54253
,,,Centennial,0,0,2,1,107485
,,,Colorado Springs,1,3,3,0,444949
,,,Commerce City,0,1,0,0,50754
,,,Denver,1,4,7,4,665353
,,,Durango,0,3,0,0,17710
,,,Fort Collins,0,1,2,0,154015
,,,Fort Morgan,2,0,0,0,11422
,,,Glendale,1,0,0,0,4558
,,,Glenwood Springs,0,1,1,0,9909
,,,Golden,0,0,0,1,19556
,,,Grand Junction,0,0,1,2,59972
,,,Greenwood Village,1,1,0,1,14824
,,,Gunnison,1,0,0,0,5865
,,,Idaho Springs,0,1,0,0,1677
,,,Lakewood,0,1,0,0,148236
,,,Lone Tree,0,0,1,0,13824
,,,Longmont,0,2,1,0,90813
,,,Loveland,1,0,0,0,72465
,,,New Castle,0,0,1,0,4595
,,,Parachute,1,0,0,0,1100
,,,Pueblo,1,1,1,0,108591
,,,Steamboat Springs,1,0,0,2,12114
,,,Sterling,1,1,0,0,14584
,,Universities and Colleges,,,,,,
,,,University of Colorado:,,,,,
,,,Boulder,0,1,0,0,32017
,,,Colorado Springs,1,0,0,0,11321
,,Metropolitan Counties,,,,,,
,,,Douglas,1,0,0,0,
,,,El Paso,1,0,0,3,
,,,Gilpin,1,0,0,0,
,,,Jefferson,1,0,0,0,
,,,Larimer,0,3,4,1,
,,,Mesa,1,0,0,0,
,,,Teller,0,0,1,0,
,,Nonmetropolitan Counties,,,,,,
,,,La Plata,0,3,0,0,
,,,Montezuma,0,0,1,0,
,,,Summit,0,0,0,1,
,Connecticut,Total,,,,,,
,,Cities,,,,,,
,,,Bloomfield,1,1,4,1,20718
,,,Bridgeport,0,3,2,0,147822
,,,Bristol,2,0,1,0,60590
,,,Brookfield,0,1,0,0,16957
,,,Canton,0,0,1,0,10372
,,,Cheshire,0,1,0,0,29120
,,,Coventry,0,0,0,1,12403
,,,Danbury,1,1,0,0,84281
,,,Derby,0,0,0,1,12776
,,,East Hartford,0,1,0,0,51185
,,,Easton,0,0,0,1,7645
,,,Enfield,,,,1,44769
,,,Fairfield,1,0,0,0,61146
,,,Farmington,0,0,1,0,25678
,,,Glastonbury,0,0,0,1,34850
,,,Greenwich,1,0,0,0,62676
,,,Groton Town,1,1,0,1,30339
,,,Hamden,0,0,0,1,61599
,,,Manchester2,2,2,1,2,58204
,,,Meriden,0,0,1,0,60352
,,,Middlebury,0,0,0,1,7569
,,,Middletown,3,1,0,2,47256
,,,Milford,0,1,1,1,53222
,,,New Britain,0,0,0,1,72864
,,,New Haven,2,4,0,2,130882
,,,Newington,1,0,0,0,30803
,,,New Milford,0,2,0,0,27681
,,,Newtown,1,1,1,0,28243
,,,North Haven,0,0,1,0,23901
,,,Norwalk,0,0,2,0,88232
,,,Norwich,1,0,0,0,40296
,,,Old Saybrook,0,3,1,0,10249
,,,Plainfield,0,0,1,0,15186
,,,Plymouth,1,0,0,0,12002
,,,Redding,0,1,0,1,9348
,,,Seymour,0,1,1,0,16579
,,,Shelton,0,0,0,1,41353
,,,Southington,0,1,0,1,43786
,,,Stamford,0,0,3,6,127385
,,,Stratford,1,1,2,0,52279
,,,Torrington,1,0,1,0,35432
,,,Vernon,0,1,2,1,29158
,,,Wallingford,0,0,0,1,45137
,,,Waterbury,0,3,1,0,109495
,,,Watertown,0,1,0,0,22161
,,,West Hartford,0,0,0,1,63360
,,,West Haven,0,1,0,0,54917
,,,Wilton,0,0,1,0,18807
,,,Winchester,0,0,0,2,10960
,,,Windsor,0,1,0,0,29154
,,,Woodbridge,0,0,0,1,8945
,,Universities and Colleges,,,,,,
,,,Southern Connecticut State University,1,0,0,0,10804
,,,"University of Connecticut, Storrs, Avery Point and Hartford3",0,0,0,2,
,,State Police Agencies,,,,,,
,,,Connecticut State Police,2,0,3,0,
,Delaware,Total,,,,,,
,,Cities,,,,,,
,,,Camden,0,0,1,0,3518
,,,Newark,0,0,0,1,32813
,,,Rehoboth Beach,0,0,1,0,1416
,,,Wilmington,0,1,1,0,71713
,,Metropolitan Counties,,,,,,
,,,New Castle County Police Department,0,0,2,1,
,,State Police Agencies,,,,,,
,,,State Police: ,,,,,
,,,Kent County,1,0,0,0,
,,,New Castle County,0,1,1,0,
,,,Sussex County,0,0,1,0,
,,Other Agencies,,,,,,
,,,State Fire Marshal,0,0,0,1,
,District of Columbia,Total,,,,,,
,,Cities,,,,,,
,,,Washington2,15,17,25,11,658893
,,Other Agencies,,,,,,
,,,Metro Transit Police,0,0,1,1,
,Florida,Total,,,,,,
,,Cities,,,,,,
,,,Cape Coral,0,1,0,0,168712
,,,Clewiston,0,0,1,0,7141
,,,Coral Gables,0,0,0,1,50316
,,,Delray Beach,0,0,1,0,64917
,,,Gainesville,0,1,0,0,128185
,,,Jupiter,0,0,0,1,59039
,,,Kissimmee,0,1,0,1,66623
,,,Largo,0,0,0,1,78502
,,,Margate,0,0,1,0,55982
,,,Miami Beach,2,0,4,0,91771
,,,Miramar,0,1,0,0,132352
,,,North Miami,0,0,0,1,61501
,,,North Miami Beach,0,1,1,0,43657
,,,Ocoee,0,0,0,1,40029
,,,Orlando,0,2,3,0,259675
,,,Oviedo,1,0,0,0,37467
,,,Palm Bay,0,0,1,0,105287
,,,Pensacola,0,0,0,1,52873
,,,Port St. Lucie,0,0,0,1,172453
,,,Temple Terrace,0,1,0,0,25335
,,,Titusville,0,1,0,0,44310
,,,Weston,0,0,0,1,69129
,,,West Palm Beach,1,0,3,1,103028
,,,Winter Garden,0,1,0,0,38454
,,Metropolitan Counties,,,,,,
,,,Alachua,0,0,0,1,
,,,Charlotte,0,1,0,0,
,,,Clay,0,0,1,1,
,,,Highlands,0,0,1,0,
,,,Lee,2,0,0,1,
,,,Manatee,0,0,2,2,
,,,Orange,1,1,1,0,
,,,Pasco,0,0,0,1,
,,,Seminole,0,0,1,0,
,,,Sumter,0,0,0,3,
,,,Volusia,2,0,1,0,
,,,Wakulla,0,0,0,2,
,,,Walton,1,0,0,0,
,Georgia,Total,,,,,,
,,Cities,,,,,,
,,,Atlanta,5,3,5,0,454363
,,Metropolitan Counties,,,,,,
,,,Cobb County Police Department,5,5,10,4,
,,,Gwinnett County Police Department,1,1,0,0,
,,,Henry County Police Department,0,1,0,1,
,Idaho,Total,,,,,,
,,Cities,,,,,,
,,,Boise,2,3,5,2,216260
,,,Coeur d'Alene,0,0,1,0,46952
,,,Jerome,0,0,1,0,11064
,,,Lewiston,1,0,0,0,32521
,,,Nampa,0,0,2,2,87735
,,,Payette,0,0,1,0,7417
,,,Pocatello,0,0,1,0,54360
,,Metropolitan Counties,,,,,,
,,,Ada,0,0,0,1,
,,Nonmetropolitan Counties,,,,,,
,,,Cassia,0,1,1,0,
,,,Teton,0,0,1,0,
,Illinois,Total,,,,,,
,,Cities,,,,,,
,,,Addison,0,0,1,0,37480
,,,Arlington Heights,0,0,0,1,76200
,,,Aurora,0,0,3,1,200419
,,,Bartlett,1,0,0,0,41784
,,,Batavia,1,0,0,0,26445
,,,Beardstown,0,1,0,0,5919
,,,Bloomington,0,1,1,1,79451
,,,Cairo,0,0,0,1,2580
,,,Centralia,0,0,0,1,12727
,,,Chicago,11,17,13,9,2724121
,,,Crest Hill,0,0,0,1,20763
,,,Crystal Lake,1,0,0,0,40294
,,,De Kalb,1,1,0,0,43791
,,,Eureka,0,1,0,0,5397
,,,Galesburg,1,0,0,0,31538
,,,Glenview,0,1,0,0,45588
,,,Grayslake,0,1,0,0,21132
,,,Hillsboro,0,1,0,0,6123
,,,Hoffman Estates,0,0,1,0,52512
,,,Homewood,0,0,0,1,19470
,,,Joliet,0,0,0,1,147838
,,,La Grange,0,0,0,1,15774
,,,La Salle,1,0,0,0,9368
,,,Lombard,0,0,0,1,44026
,,,Lyons,0,0,1,0,10793
,,,Normal,0,1,1,0,55185
,,,Oak Lawn,0,0,1,0,57159
,,,O'Fallon,0,1,0,0,29255
,,,Palestine,0,1,0,0,1331
,,,Peoria,2,0,0,0,116923
,,,Plano,0,0,0,1,11147
,,,Rantoul,1,0,0,0,13060
,,,Rockford,0,0,1,0,149586
,,,Schaumburg,1,0,0,0,75060
,,,Shiloh,0,0,1,0,12991
,,,Springfield,0,0,2,0,117134
,,,Streamwood,0,1,0,0,40456
,,,Urbana,0,1,0,0,41805
,,,Wamac,0,1,,,1144
,,,West Chicago,0,0,0,1,27636
,,,Wood River,0,0,1,0,10370
,,Universities and Colleges,,,,,,
,,,"Northwestern University, Chicago",0,0,1,0,430
,,,"University of Illinois, Urbana",0,0,1,0,44942
,,Metropolitan Counties,,,,,,
,,,Champaign,0,0,0,1,
,,,Lake,0,0,0,1,
,,,Peoria,0,1,1,1,
,,,Winnebago,0,1,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Fulton,2,0,0,0,
,Indiana,Total,,,,,,
,,Cities,,,,,,
,,,Anderson,0,0,0,1,55545
,,,Bloomington,1,2,2,5,83075
,,,Columbus,0,1,3,0,46196
,,,Fishers,0,0,1,0,85597
,,,Fort Wayne,0,1,1,0,257172
,,,Indianapolis,3,4,7,5,858238
,,,Shelbyville,0,0,2,2,19278
,,Universities and Colleges,,,,,,
,,,Purdue University,0,0,1,0,39794
,,Nonmetropolitan Counties,,,,,,
,,,Montgomery,0,0,0,1,
,,State Police Agencies,,,,,,
,,,State Police:,,,,,
,,,Decatur County,1,0,0,0,
,,,Marion County,1,0,0,1,
,,,Putnam County,0,1,0,0,
,,,Scott County,1,0,0,0,
,,,Vanderburgh County,0,1,0,0,
,,,Wayne County,1,0,0,0,
,Iowa,Total,,,,,,
,,Cities,,,,,,
,,,Ames,0,1,0,0,62514
,,,Atlantic,0,0,1,0,6898
,,,Bettendorf,0,0,1,1,35045
,,,Cedar Rapids,1,0,0,0,128901
,,,Council Bluffs,1,0,0,0,61864
,,,Des Moines,0,0,1,0,208250
,,,Fort Dodge,0,1,0,0,24524
,,Universities and Colleges,,,,,,
,,,Iowa State University,1,0,0,0,32955
,,,University of Iowa,1,0,0,0,29748
,,Nonmetropolitan Counties,,,,,,
,,,Hardin,0,1,0,0,
,Kansas,Total,,,,,,
,,Cities,,,,,,
,,,Abilene,0,1,0,0,6617
,,,Burlington,0,0,0,1,2620
,,,Dodge City,0,0,1,0,28325
,,,Edwardsville,0,1,0,0,4357
,,,Elwood,0,1,0,0,1190
,,,Goddard,0,0,1,0,4624
,,,Hays,0,0,1,0,21167
,,,Haysville,0,1,0,0,11046
,,,Hiawatha,0,1,0,0,3180
,,,Hutchinson,1,2,1,0,41807
,,,Junction City,0,0,1,0,25786
,,,Kansas City,,0,1,0,149103
,,,Lawrence,4,7,2,0,91524
,,,Leavenworth,0,3,0,1,36018
,,,Leawood,0,1,0,0,33266
,,,McPherson,0,1,0,0,13369
,,,Mulvane,0,0,0,2,6322
,,,Osawatomie,1,0,0,0,4369
,,,Ottawa,1,0,0,0,12439
,,,Overland Park,,,0,1,183108
,,,Paola,0,0,1,0,5634
,,,Pittsburg,0,1,0,0,20431
,,,Salina,0,2,0,0,47850
,,,Wellington,0,0,1,0,7919
,,,Wichita,3,1,7,3,387493
,,Metropolitan Counties,,,,,,
,,,Jackson,0,1,0,0,
,,,Jefferson,0,0,1,0,
,,,Riley County Police Department,0,1,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Ellis,1,0,0,1,
,,,Ford,0,0,1,0,
,,,Greenwood,1,0,0,0,
,,,Kearny,1,0,0,0,
,,,Lyon,0,0,1,0,
,,,Saline,0,1,2,0,
,,,Wichita,0,1,0,0,
,,Other Agencies,,,,,,
,,,Johnson County Park,0,1,0,0,
,,,"Unified School District, Goddard",0,0,1,0,
,Kentucky,Total,,,,,,
,,Cities,,,,,,
,,,Ashland,1,0,0,0,21321
,,,Augusta,1,0,0,0,1177
,,,Bowling Green,2,1,1,1,62117
,,,Cadiz,0,1,0,0,2665
,,,Campbellsville,0,0,1,0,10840
,,,Carrollton,1,0,0,1,4009
,,,Cold Spring,1,0,1,0,6191
,,,Covington,1,1,3,1,41072
,,,Cynthiana,1,0,0,0,6334
,,,Dayton,0,0,1,0,5377
,,,Elizabethtown,0,1,0,0,30208
,,,Elkton,0,0,0,1,2179
,,,Florence,1,0,1,0,31769
,,,Franklin,0,1,0,0,8745
,,,Georgetown,1,0,0,1,31280
,,,Glasgow,0,1,0,0,14315
,,,Harrodsburg,1,0,0,0,8380
,,,Hazard,1,0,0,0,5415
,,,Henderson,0,1,0,1,28843
,,,Hopkinsville,0,0,2,1,32697
,,,Jamestown,0,0,0,1,1823
,,,Jeffersontown,0,1,0,1,27124
,,,Lebanon,1,0,0,0,5653
,,,Lexington2,3,6,11,7,311848
,,,London,0,0,1,0,8115
,,,Louisville Metro,3,0,2,4,677710
,,,Ludlow,0,0,1,0,4552
,,,Mayfield,0,0,0,1,10130
,,,Maysville,0,0,2,0,8895
,,,Morgantown,1,0,0,0,2462
,,,Murray,1,0,0,0,18188
,,,Newport,2,0,0,1,15357
,,,Nicholasville,0,0,0,1,28889
,,,Owensboro,2,0,1,1,58659
,,,Owingsville,1,0,0,0,1573
,,,Paducah,0,2,2,0,25017
,,,Paris,0,1,0,0,9754
,,,Raceland,0,0,0,1,2376
,,,Richmond,1,1,1,0,32828
,,,Russell Springs,0,0,1,0,2509
,,,Russellville,0,1,0,0,7053
,,,Shepherdsville,0,0,1,0,11788
,,,Shively,1,0,0,1,15669
,,,Somerset,1,0,0,0,11503
,,,Stanford,1,0,0,0,3654
,,,St. Matthews,0,0,0,1,17945
,,,Versailles,0,0,0,1,8973
,,,Vine Grove,0,1,0,0,5479
,,,Williamstown,1,0,0,0,3958
,,,Winchester,1,1,0,0,18387
,,Universities and Colleges,,,,,,
,,,Eastern Kentucky University,0,0,0,1,16111
,,,Morehead State University,1,0,0,0,11358
,,,University of Kentucky,0,0,0,1,28435
,,Metropolitan Counties,,,,,,
,,,Boone,0,1,3,1,
,,,Bullitt,0,1,0,0,
,,,Campbell County Police Department,0,0,1,0,
,,,Christian,0,1,0,1,
,,,Gallatin,1,0,0,0,
,,,Kenton,0,1,1,2,
,,,Oldham County Police Department,0,1,0,0,
,,,Pendleton2,0,0,1,0,
,,,Shelby,1,0,0,0,
,,,Warren,1,0,1,0,
,,Nonmetropolitan Counties,,,,,,
,,,Adair,1,0,0,0,
,,,Breckinridge,0,0,0,1,
,,,Hopkins,0,0,0,1,
,,,Laurel,0,0,0,1,
,,,Lewis,0,1,0,0,
,,,Marion,0,0,1,0,
,,,Marshall,1,0,0,0,
,,,McCracken,1,0,0,0,
,,,Nelson,1,0,0,0,
,,,Ohio,1,0,1,0,
,,State Police Agencies,,,,,,
,,,State Police:,,,,,
,,,Cannabis Suppression Section,0,1,3,0,
,,,Frankfort,0,0,0,1,
,,,Hazard,0,1,0,1,
,,,Henderson,0,0,0,1,
,,,Madisonville,0,1,0,0,
,,,Mayfield,0,0,1,0,
,,,Pikeville,1,0,0,0,
,,Other Agencies,,,,,,
,,,Fayette County Schools,0,1,0,0,
,,,Greater Hardin County Narcotics Task Force,2,0,0,0,
,,,Park Security,0,0,0,1,
,,,Pennyrile Narcotics Task Force,0,0,1,0,
,Louisiana,Total,,,,,,
,,Cities,,,,,,
,,,Bernice,0,0,1,0,1637
,,,Harahan,,1,,,9319
,,,New Orleans,1,1,,1,387113
,,Universities and Colleges,,,,,,
,,,University of New Orleans,,0,0,1,9323
,,Metropolitan Counties,,,,,,
,,,Calcasieu,0,1,0,1,
,,,Lafayette,0,1,,,
,Maine,Total,,,,,,
,,Cities,,,,,,
,,,Augusta,1,1,0,1,18717
,,,Bath,0,0,1,0,8325
,,,Gouldsboro,0,0,1,0,1746
,,,Hampden,1,0,0,0,7303
,,,Old Orchard Beach,0,1,2,0,8705
,,,Portland,2,0,0,2,66380
,,,Rumford,1,0,0,0,5705
,,,Saco,0,1,3,1,18974
,,,Searsport,1,0,0,0,2627
,,,South Portland,0,1,1,0,25327
,,,Waterville,0,1,0,0,16022
,,,Westbrook,0,0,0,1,17809
,,,Wiscasset,0,0,0,2,3645
,,Metropolitan Counties,,,,,,
,,,Sagadahoc,0,0,0,1,
,,Nonmetropolitan Counties,,,,,,
,,,Kennebec,0,1,0,0,
,Maryland,Total,,,,,,
,,Cities,,,,,,
,,,Baltimore,0,1,0,1,623513
,,,Cambridge,0,1,0,0,12669
,,,Salisbury,2,0,0,0,31779
,,,Thurmont,0,0,1,0,6463
,,Universities and Colleges,,,,,,
,,,St. Mary's College,1,0,0,0,1858
,,Metropolitan Counties,,,,,,
,,,Montgomery County Police Department,1,1,4,0,
,,,Prince George's County Police Department,0,0,0,1,
,,State Police Agencies,,,,,,
,,,State Police: ,,,,,
,,,Carroll County,0,0,1,0,
,,,Worcester County,0,1,0,0,
,Massachusetts,Total,,,,,,
,,Cities,,,,,,
,,,Acton,0,0,2,1,23193
,,,Agawam,0,0,0,2,28769
,,,Amherst,1,0,0,1,38977
,,,Arlington,0,1,2,2,44439
,,,Attleboro,0,0,1,1,44084
,,,Barnstable,2,0,1,0,44642
,,,Belmont,0,0,0,1,25550
,,,Beverly,1,0,0,0,41023
,,,Billerica,0,0,1,0,42393
,,,Boston,16,32,27,20,654413
,,,Braintree,1,0,0,1,37067
