Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population3
,,Universities and Colleges,,,,,,
,,,Central Arizona College,1,0,0,0,7117
,,,University of Arizona,0,1,1,2,39086
,,Metropolitan Counties,,,,,,
,,,Maricopa,2,1,1,0,
,,,Mohave,0,1,0,0,
,,,Pima,1,2,2,1,
,,,Pinal,0,1,0,1,
,,,Yavapai,0,2,0,1,
,,Other Agencies,,,,,,
,,,Tucson Airport Authority,1,0,0,0,
,Arkansas,Total,,,,,,
,,Cities,,,,,,
,,,Benton,0,0,0,1,30913
,,,Conway,0,1,0,0,59354
,,,Newport,0,1,0,0,7939
,,,Paragould,0,0,1,0,26311
,,,Russellville,0,0,1,0,28131
,,,Siloam Springs,1,0,0,0,15153
,,,Texarkana,0,1,0,0,30145
,,Metropolitan Counties,,,,,,
,,,Benton,0,1,0,0,
,,,Pulaski,1,1,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Independence,0,0,1,0,
,California,Total,,,,,,
,,Cities,,,,,,
,,,Alhambra,0,0,1,0,84066
,,,Aliso Viejo,1,0,0,0,48385
,,,Anaheim,2,0,2,1,340218
,,,Anderson,0,0,1,0,10049
,,,Antioch3,2,0,4,1,103575
,,,Arroyo Grande,1,0,0,0,17455
,,,Artesia,0,0,1,0,16716
,,,Arvin,0,1,0,0,19531
,,,Atherton,0,1,0,0,6995
,,,Azusa,2,1,0,1,46906
,,,Bakersfield,2,0,1,2,351568
,,,Baldwin Park,2,0,2,0,76276
,,,Banning,1,0,0,0,29951
,,,Barstow,0,0,2,0,22905
,,,Beaumont,3,2,0,0,37311
,,,Bellflower,0,0,1,0,77517
,,,Berkeley,2,1,1,0,113903
,,,Beverly Hills,0,2,2,1,34510
,,,Big Bear Lake,0,0,1,0,5078
,,,Blythe,0,0,1,0,21062
,,,Brentwood,0,1,1,1,52086
,,,Burbank,1,3,1,0,104555
,,,Calabasas,0,1,0,0,23329
,,,Camarillo,0,1,1,0,65968
,,,Campbell,1,0,0,0,39812
,,,Carson,0,5,0,0,92792
,,,Cathedral City,0,2,1,0,51802
,,,Cerritos,0,0,0,1,49618
,,,Chico,1,2,2,0,87200
,,,Chino,1,0,0,0,78900
,,,Chula Vista,1,2,1,2,246783
,,,Citrus Heights,0,0,1,0,84280
,,,Claremont,0,1,0,2,35337
,,,Clearlake,0,0,1,0,15429
,,,Clovis,0,2,1,0,96755
,,,Coachella,0,1,1,0,41183
,,,Concord,1,2,4,3,123502
,,,Corona,1,0,0,0,154165
,,,Costa Mesa,1,1,0,0,111253
,,,Cotati,0,1,0,0,7350
,,,Covina,1,0,0,0,48358
,,,Cupertino,1,0,0,1,58987
,,,Cypress,1,2,0,1,48364
,,,Daly City,1,2,1,0,102312
,,,Dana Point,0,0,2,0,33743
,,,Davis,5,1,1,3,66393
,,,Delano,0,0,0,1,53665
,,,Diamond Bar,1,0,0,0,56197
,,,Downey,0,0,2,0,113086
,,,Dublin,1,0,0,0,46577
,,,East Palo Alto,1,0,0,0,28486
,,,El Cerrito,1,0,1,0,23826
,,,Elk Grove,2,1,0,1,154814
,,,El Monte,1,3,2,0,114809
,,,Encinitas,0,1,0,1,60218
,,,Escalon,1,0,0,1,7216
,,,Escondido,2,2,1,0,145603
,,,Eureka,0,0,1,3,27511
,,,Fairfield,1,0,0,0,106559
,,,Farmersville,0,0,0,1,10712
,,,Fort Bragg,1,0,0,0,7359
,,,Fountain Valley,0,0,3,0,55963
,,,Fremont,0,1,0,0,216606
,,,Fresno,0,2,0,0,500480
,,,Fullerton,0,0,1,0,136750
,,,Galt,1,0,0,0,23925
,,,Garden Grove,1,3,0,,172892
,,,Glendale,1,0,1,3,193973
,,,Grass Valley,0,1,0,0,13011
,,,Greenfield,1,0,0,0,16522
,,,Hawaiian Gardens,1,0,1,1,14422
,,,Hawthorne,0,0,1,1,85284
,,,Hayward,1,0,0,0,145881
,,,Healdsburg,0,0,1,0,11386
,,,Hemet,1,1,0,0,79582
,,,Hercules,0,0,1,0,24343
,,,Highland,0,0,1,0,53728
,,,Huntington Beach,3,5,1,3,192226
,,,Imperial Beach,1,0,0,0,26633
,,,Irvine,5,1,1,0,214872
,,,La Canada Flintridge,0,1,0,0,20484
,,,Laguna Beach,0,0,1,0,22990
,,,La Habra,0,0,1,1,60947
,,,Lake Elsinore,0,0,0,1,52430
,,,Lakewood,0,1,0,0,80989
,,,La Mesa,0,2,1,0,57736
,,,La Mirada,0,1,0,0,49097
,,,Lancaster,1,3,1,3,158474
,,,La Puente,0,0,0,1,40284
,,,La Quinta,0,0,0,1,37907
,,,La Verne,0,1,0,0,31428
,,,Lemon Grove,0,0,1,0,25618
,,,Lemoore,0,0,1,0,24819
,,,Livermore,2,0,0,0,81920
,,,Lodi,0,0,2,1,62864
,,,Long Beach,3,0,2,1,467691
,,,Los Angeles3,34,53,46,37,3837207
,,,Los Gatos,0,0,1,0,29759
,,,Lynwood,0,0,1,0,70592
,,,Malibu,0,1,0,0,12794
,,,Manhattan Beach,0,0,2,0,35548
,,,Marysville,2,0,0,0,12214
,,,Menlo Park,1,0,0,0,32402
,,,Millbrae,0,0,1,1,21785
,,,Milpitas,0,1,0,0,67575
,,,Mission Viejo,0,0,2,2,94402
,,,Modesto,1,1,1,1,203530
,,,Montclair,0,1,0,0,37095
,,,Monterey,0,1,2,0,28137
,,,Moreno Valley,0,1,0,1,195638
,,,Mountain View,1,0,0,0,74937
,,,Murrieta,3,1,0,1,104682
,,,Napa,0,0,0,2,77819
,,,Newark,2,1,1,0,43073
,,,Newport Beach,0,3,2,0,86187
,,,Norco,0,1,0,0,27381
,,,Norwalk,2,0,2,0,106790
,,,Novato,0,3,0,0,52514
,,,Oakland,2,2,4,1,395317
,,,Oceanside,1,3,0,1,169050
,,,Ojai,0,1,0,0,7549
,,,Ontario,0,1,0,1,165851
,,,Orange,0,0,1,1,138020
,,,Oxnard,2,1,1,0,200225
,,,Pacifica,1,1,0,0,37672
,,,Palmdale,2,5,5,0,154546
,,,Palm Desert,0,0,0,1,49015
,,,Palm Springs,4,2,0,4,45076
,,,Palo Alto,2,2,0,0,65160
,,,Paramount,0,0,1,0,54734
,,,Parlier,0,1,0,0,14664
,,,Patterson,0,0,0,1,20653
,,,Perris,0,0,1,0,69190
,,,Petaluma,0,1,0,0,58622
,,,Pico Rivera,0,0,1,0,63682
,,,Pinole,0,,1,0,18606
,,,Pittsburg,0,0,1,0,64008
,,,Poway,0,1,0,2,48373
,,,Rancho Cordova,0,1,0,0,65538
,,,Rancho Palos Verdes,1,0,0,0,42133
,,,Redding,1,1,0,0,90917
,,,Redondo Beach,2,2,1,0,67533
,,,Rialto,2,0,0,1,100337
,,,Richmond,0,1,0,1,104920
,,,Riverside,5,4,10,6,307443
,,,Rohnert Park,1,1,0,0,41453
,,,Rolling Hills Estates,1,0,0,0,8162
,,,Sacramento,6,4,4,3,471972
,,,Salinas,0,1,0,1,152210
,,,San Bernardino,0,0,0,2,212392
,,,San Bruno,0,0,1,0,41597
,,,San Clemente,0,0,1,0,64269
,,,San Diego,14,10,10,8,1316919
,,,San Dimas,0,1,0,0,33763
,,,San Francisco,9,14,14,9,814701
,,,San Gabriel,0,1,0,0,40185
,,,Sanger,0,0,1,0,24555
,,,San Jose,11,11,6,4,957062
,,,San Leandro,0,0,1,0,85949
,,,San Luis Obispo,2,1,0,0,45649
,,,San Marcos,1,0,2,0,84766
,,,San Mateo,0,0,1,1,98350
,,,San Pablo,0,0,0,1,29482
,,,San Rafael,2,1,0,0,58391
,,,Santa Ana3,4,4,1,3,328343
,,,Santa Barbara,1,0,2,0,89449
,,,Santa Clarita,4,1,1,2,178393
,,,Santa Cruz,2,3,6,4,60651
,,,Santa Monica,0,2,1,2,90791
,,,Santa Rosa,0,0,0,1,169788
,,,Santee,2,0,0,4,54041
,,,Saratoga,0,0,0,1,30278
,,,Scotts Valley,0,0,1,1,11716
,,,Selma,0,1,0,0,23492
,,,Simi Valley,1,0,1,1,125698
,,,Soledad,1,0,0,0,26041
,,,Sonora,1,0,0,1,4961
,,,South Gate,0,1,1,0,95506
,,,South Lake Tahoe,1,0,0,0,21655
,,,South San Francisco,0,0,0,1,64380
,,,Stanton,1,0,0,0,38635
,,,Stockton,1,0,2,0,295136
,,,Sunnyvale,0,0,0,1,141728
,,,Susanville,0,0,0,1,18158
,,,Tehachapi,1,0,1,0,14583
,,,Temple City,0,1,0,0,35976
,,,Thousand Oaks,2,0,3,1,128172
,,,Torrance,1,0,0,0,147148
,,,Tracy,1,0,1,0,83897
,,,Turlock,0,1,0,0,69355
,,,Tustin,0,2,0,0,76428
,,,Union City,0,0,3,0,70333
,,,Upland,1,0,1,0,74599
,,,Vallejo,1,1,0,0,117305
,,,Ventura,1,0,1,0,107684
,,,Victorville,1,1,1,0,117266
,,,Visalia,0,1,,0,125905
,,,Vista,2,2,2,0,94937
,,,Walnut Creek,3,6,2,4,64927
,,,Watsonville,0,1,0,0,51801
,,,West Covina,1,3,0,0,107345
,,,West Hollywood,5,1,2,3,34803
,,,Westlake Village,0,0,0,1,8367
,,,Westminster,1,,5,1,90756
,,,Whittier,0,0,1,0,86334
,,,Woodland,0,0,1,0,56120
,,,Yorba Linda,0,0,0,1,64989
,,Universities and Colleges,,,,,,
,,,Allan Hancock College,0,1,0,0,12108
,,,California State University:,,,,,
,,,Long Beach,1,0,0,0,33416
,,,Los Angeles,0,1,0,0,20142
,,,Northridge,1,2,0,1,35272
,,,San Jose4,0,0,1,0,
,,,San Marcos,0,0,0,1,9722
,,,Contra Costa Community College,1,0,0,0,7975
,,,Foothill-De Anza College,1,0,0,0,41104
,,,Humboldt State University,0,1,0,0,7903
,,,Riverside Community College,0,0,0,1,20585
,,,State Center Community College District,1,0,0,0,38821
,,,University of California:,,,,,
,,,Davis,1,0,0,0,31392
,,,Los Angeles,0,1,0,0,38157
,,,"Medical Center, Sacramento4",1,0,0,0,
,,,Riverside,1,0,0,0,20692
,,,San Diego,1,0,0,1,29176
,,,Santa Barbara,0,0,0,1,22218
,,,Santa Cruz,5,4,0,0,17187
,,,West Valley-Mission College,0,0,0,1,22783
,,Metropolitan Counties,,,,,,
,,,Alameda,,1,0,0,
,,,Butte,1,0,1,0,
,,,Contra Costa,2,1,1,0,
,,,Kern,0,1,2,1,
,,,Los Angeles,8,10,8,6,
,,,Marin,1,0,0,0,
,,,Merced,1,0,0,0,
,,,Monterey,0,1,0,1,
,,,Orange,0,1,0,0,
,,,Placer,1,0,0,0,
,,,Riverside,2,1,0,2,
,,,Sacramento,2,2,3,3,
,,,San Bernardino,0,1,1,0,
,,,San Diego,6,5,8,6,
,,,San Luis Obispo,0,1,0,0,
,,,Santa Clara,0,0,1,0,
,,,Santa Cruz,5,4,2,0,
,,,Sonoma,1,0,0,0,
,,,Sutter,0,0,0,1,
,,,Ventura,0,2,2,0,
,,,Yuba,0,1,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Amador,0,0,0,1,
,,,Humboldt,0,1,0,0,
,,,Lake,0,1,1,0,
,,,Mendocino,1,0,1,0,
,,,Tuolumne,0,1,0,0,
,,Other Agencies,,,,,,
,,,Los Angeles Transportation Services Bureau,1,2,2,,
,,,Port of San Diego Harbor,0,0,1,0,
,,,San Francisco Bay Area Rapid Transit:,,,,,
,,,Alameda County,0,0,3,0,
,,,Contra Costa County,0,0,1,0,
,,,Stockton Unified School District,0,0,1,0,
,Colorado,Total,,,,,,
,,Cities,,,,,,
,,,Alamosa,0,0,2,0,8933
,,,Aspen3,0,2,0,1,6774
,,,Aurora,1,0,2,1,330740
,,,Basalt,0,0,1,0,3924
,,,Boulder,0,1,1,0,99081
,,,Breckenridge,1,0,0,1,4619
,,,Broomfield,1,0,0,0,56862
,,,Buena Vista,0,0,1,0,2663
,,,Canon City,0,0,1,0,16686
,,,Centennial,2,1,4,0,102125
,,,Colorado Springs,4,4,1,1,423680
,,,Craig,0,1,1,0,9629
,,,Denver,3,8,13,1,610612
,,,Durango,0,4,4,1,17181
,,,Englewood,0,1,0,1,30782
,,,Estes Park,0,1,0,0,5960
,,,Fort Collins,0,2,1,3,146494
,,,Fort Lupton,0,0,1,0,7505
,,,Fort Morgan,0,1,0,0,11512
,,,Frisco,1,0,0,0,2730
,,,Glenwood Springs,0,0,1,0,9781
,,,Golden,0,1,0,0,19196
,,,Grand Junction,2,0,1,1,59586
,,,Greeley,2,4,4,0,94507
,,,Lafayette,,,1,,24879
,,,La Junta,0,1,0,0,7200
,,,Lakewood,0,0,3,0,145470
,,,Littleton,0,8,0,1,42464
,,,Lone Tree,5,2,1,0,10396
,,,Longmont,0,2,1,0,87773
,,,Loveland,,1,,,68024
,,,Mancos,1,0,0,0,1359
,,,Montrose,0,0,1,0,19465
,,,Monument,2,0,0,0,5626
,,,Northglenn,0,0,1,0,36412
,,,Palmer Lake,0,0,0,1,2462
,,,Parachute,0,0,1,0,1104
,,,Parker,1,0,0,0,46086
,,,Pueblo,2,2,4,0,108452
,,,Steamboat Springs,1,1,0,5,12299
,,,Sterling,0,0,0,1,15034
,,,Thornton,0,1,0,1,120841
,,,Wheat Ridge,0,0,1,0,30691
,,Universities and Colleges,,,,,,
,,,"Colorado State University, Fort Collins",1,0,0,0,30155
,,,Fort Lewis College,0,0,0,1,3853
,,Metropolitan Counties,,,,,,
,,,Adams3,0,1,2,1,
,,,Arapahoe,3,5,1,0,
,,,Douglas,2,0,0,1,
,,,Larimer,0,1,2,2,
,,,Mesa,0,3,0,0,
,,,Weld,0,0,0,1,
,,Nonmetropolitan Counties,,,,,,
,,,Huerfano,0,0,0,1,
,,,Kit Carson,0,1,0,0,
,,,Logan,0,1,0,0,
,,,Moffat,0,1,0,0,
,,,Otero,0,0,1,0,
,,,Summit,0,2,1,0,
,Connecticut,Total,,,,,,
,,Cities,,,,,,
,,,Bloomfield,2,0,0,0,20524
,,,Bridgeport,2,1,1,2,144496
,,,Bristol,0,1,0,0,60589
,,,Clinton,0,2,1,0,13285
,,,Cromwell,1,0,0,1,14031
,,,Danbury,3,0,0,0,81043
,,,Darien,0,0,0,1,20770
,,,East Hampton,0,0,0,1,12983
,,,Enfield,0,0,1,0,44737
,,,Fairfield,0,0,0,1,59514
,,,Glastonbury,1,0,0,0,34491
,,,Groton Town,1,1,1,4,29262
,,,Guilford,0,0,0,1,22416
,,,Hartford,2,1,2,0,125006
,,,Madison,0,0,1,0,18303
,,,Manchester,7,7,8,6,58349
,,,Middletown,0,2,0,1,47736
,,,Milford,2,0,0,1,52857
,,,Naugatuck,0,0,2,2,31921
,,,New Britain,0,0,0,1,73341
,,,New Canaan,0,1,0,0,19775
,,,New Haven,1,4,1,1,130019
,,,Newington,0,1,4,2,30619
,,,New London,2,2,1,3,27671
,,,Norwalk,0,1,2,0,85761
,,,Norwich,0,2,2,0,40568
,,,Seymour,0,0,0,1,16571
,,,Shelton,0,0,0,1,39632
,,,Southington,1,1,0,0,43149
,,,Stratford,1,0,0,1,51479
,,,Torrington,0,0,1,0,36450
,,,Wallingford,0,0,2,0,45218
,,,Waterbury,2,2,0,0,110570
,,,West Hartford,0,0,1,1,63385
,,,Weston,0,1,0,0,10198
,,,Westport,2,0,0,1,26440
,,,Winchester,0,0,0,1,11263
,,,Windsor Locks,0,0,0,1,12521
,,Universities and Colleges,,,,,,
,,,Southern Connecticut State University,0,0,1,2,11964
,,,"University of Connecticut, Storrs, Avery Point, and Hartford4",1,0,0,1,
,,,Western Connecticut State University,0,0,0,2,6582
,,State Police Agencies,,,,,,
,,,Connecticut State Police,1,5,1,0,
,Delaware,Total,,,,,,
,,Cities,,,,,,
,,,Camden,1,0,0,0,3499
,,,Dover,0,1,0,1,36416
,,,Newark,0,0,0,1,31776
,,,Wilmington,0,2,1,0,71577
,,Metropolitan Counties,,,,,,
,,,New Castle County Police Department,1,1,1,1,
,,State Police Agencies,,,,,,
,,,State Police:,,,,,
,,,Kent County,0,0,1,0,
,,,New Castle County,0,2,0,0,
,,Other Agencies,,,,,,
,,,River and Bay Authority,0,0,1,0,
,District of Columbia,Total,,,,,,
,,Cities,,,,,,
,,,Washington,16,19,18,26,617996
,,Other Agencies,,,,,,
,,,Metro Transit Police,2,0,1,1,
,Florida,Total,,,,,,
,,Cities,,,,,,
,,,Boca Raton,0,2,0,0,85542
,,,Boynton Beach,0,0,2,0,69147
,,,Dania,0,0,1,0,30043
,,,Daytona Beach,0,0,2,0,61836
,,,Deland,1,0,1,0,27399
,,,Doral,1,0,0,0,46327
,,,Fort Walton Beach,0,0,0,1,19773
,,,Gainesville,3,1,4,5,126049
,,,Homestead,3,0,0,0,61337
,,,Jacksonville Beach,0,0,1,0,21653
,,,Jupiter,0,1,0,0,55908
,,,Key West,0,0,0,1,24985
,,,Lake Worth,1,0,0,0,35386
,,,Leesburg,0,1,0,0,20391
,,,Marco Island,0,0,1,0,16637
,,,Melbourne,0,3,0,1,77105
,,,Miami Beach,3,0,0,0,88975
,,,Miami Gardens,1,0,1,0,108628
,,,Miami Shores,0,1,0,0,10636
,,,Milton,0,0,1,0,8946
,,,Mount Dora,0,0,1,0,12539
,,,North Bay Village,0,0,0,1,7234
,,,North Port,0,0,1,1,58139
,,,Oakland Park,1,0,0,0,41927
,,,Ocala,0,1,0,0,57082
,,,Orlando,2,1,4,0,241548
,,,Palm Bay,0,1,0,0,104596
,,,Panama City,1,0,0,1,36981
,,,Pensacola,0,0,1,1,52631
,,,Port St. Lucie,0,0,0,1,166846
,,,Royal Palm Beach,0,0,1,0,34605
,,,Sarasota,0,1,0,0,52625
,,,Stuart,0,1,0,0,15806
,,,Weston,0,1,0,0,66223
,,,Wilton Manors,1,0,0,1,11791
,,,Winter Garden,1,0,1,0,35039
,,Universities and Colleges,,,,,,
,,,University of Central Florida,0,1,0,0,56106
,,,University of Florida,0,1,0,0,49827
,,Metropolitan Counties,,,,,,
,,,Baker,1,0,0,0,
,,,Brevard,0,1,0,0,
,,,Charlotte,0,0,0,1,
,,,Clay,0,1,0,3,
,,,Collier,0,1,1,0,
,,,Escambia,0,0,1,0,
,,,Flagler,1,2,0,1,
,,,Hillsborough,1,0,1,0,
,,,Okaloosa,1,0,0,0,
,,,Orange,2,3,4,4,
,,,Osceola,0,0,1,0,
,,,Palm Beach,3,0,0,0,
,,,Pasco,1,2,0,1,
,,,Pinellas,1,0,0,0,
,,,Polk,2,2,0,0,
,,,Santa Rosa,0,0,0,2,
,,,St. Johns,0,1,1,0,
,,,Volusia,0,0,0,1,
,,Nonmetropolitan Counties,,,,,,
,,,Walton,1,0,0,0,
,,Other Agencies,,,,,,
,,,Palm Beach County School District,1,0,0,0,
,Georgia,Total,,,,,,
,,Cities,,,,,,
,,,Athens-Clarke County,2,,,,117114
,,,Atlanta,1,1,0,0,425533
,,,Columbus,,2,1,1,192385
,,,Warner Robins,1,0,0,0,67465
,,Universities and Colleges,,,,,,
,,,College of Coastal Georgia,0,0,0,1,3438
,,,University of Georgia,0,0,0,1,34677
,,Metropolitan Counties,,,,,,
,,,Catoosa,0,1,0,0,
,,,Henry County Police Department,1,0,1,3,
,Idaho,Total,,,,,,
,,Cities,,,,,,
,,,Boise,1,4,0,4,207945
,,,Coeur d'Alene,1,2,3,1,44625
,,,Hailey,0,1,0,0,8048
,,,McCall,0,0,1,0,3024
,,,Nampa,1,1,1,0,82459
,,,Post Falls,3,0,0,0,27879
,,,Rathdrum,0,0,1,0,6901
,,,Rexburg,0,0,0,1,25766
,,,Twin Falls,0,0,1,1,44613
,,Metropolitan Counties,,,,,,
,,,Kootenai,0,1,1,1,
,,Nonmetropolitan Counties,,,,,,
,,,Shoshone,1,0,0,0,
,,,Teton,1,0,0,0,
,Illinois,Total,,,,,,
,,Cities,,,,,,
,,,Alton,0,0,0,1,27949
,,,Arlington Heights,1,0,0,,75327
,,,Aurora,1,0,1,0,198495
,,,Beecher,0,0,0,1,4372
,,,Bellwood,0,0,1,,19128
,,,Blue Island,0,1,0,0,23777
,,,Cairo,0,0,0,1,2840
,,,Carol Stream,0,0,0,1,39831
,,,Centralia,0,1,0,0,13071
,,,Champaign,1,2,1,0,81299
,,,Chicago,4,1,3,2,2703713
,,,Danville,0,1,0,0,33126
,,,Decatur,1,0,0,0,76351
,,,Des Plaines,0,0,1,0,58540
,,,East Peoria,0,0,0,1,23472
,,,Elmhurst,0,0,0,1,44254
,,,Joliet,1,0,0,0,147877
,,,Leland,0,0,0,1,980
,,,Lyons,0,1,0,0,10761
,,,Marion,1,1,,,17245
,,,Mattoon,0,0,1,1,18611
,,,Moline,0,1,0,0,43614
,,,Normal,0,0,0,2,52655
,,,Olney,0,0,2,0,9142
,,,Pekin,0,1,1,0,34197
,,,Plainfield,1,0,0,0,39700
,,,Rockford,1,2,3,0,153331
,,,Springfield,2,1,0,3,116600
,,,Urbana,1,0,0,1,41374
,,Universities and Colleges,,,,,,
,,,"University of Illinois, Urbana",0,0,0,1,43862
,,,Western Illinois University,1,,,,12585
,,Metropolitan Counties,,,,,,
,,,Kane,0,0,1,,
,,,Kendall,0,1,0,0,
,,,Lake,0,1,0,0,
,,,Macon,0,0,2,0,
,,,Marshall,0,1,0,0,
,,,Peoria,0,1,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Knox,0,0,1,0,
,,,La Salle,1,0,0,0,
,Indiana,Total,,,,,,
,,Cities,,,,,,
,,,Bloomington,1,2,0,2,80816
,,,Franklin,1,2,3,0,23833
,,,Hammond,0,1,1,0,81243
,,,Highland,1,0,0,1,23848
,,,Indianapolis,11,8,21,11,833024
,,,Mishawaka,1,0,0,2,48498
,,,Muncie,0,0,5,1,70443
,,,Portage,,1,,1,37016
,,,Richmond,1,0,,1,37000
,,,Rushville,1,,,,6373
,,,Seymour,0,1,0,0,17592
,,,Walkerton,0,1,0,1,2155
,,Universities and Colleges,,,,,,
,,,Indiana State University,1,0,1,1,11494
,,,Indiana University:,,,,,
,,,Indianapolis,1,0,0,0,30566
,,,New Albany,2,0,0,0,7178
,,,Purdue University,2,2,1,2,41063
,,Metropolitan Counties,,,,,,
,,,Elkhart,0,0,3,1,
,Iowa,Total,,,,,,
,,Cities,,,,,,
,,,Bettendorf,0,0,1,1,33391
,,,Cedar Rapids,1,0,0,0,126988
,,,Davenport,0,1,0,0,100207
,,,Des Moines,0,0,1,0,204498
,,,Grinnell,0,0,1,0,9266
,,,Jefferson,1,0,0,0,4368
,,,Sioux City,0,0,1,0,83117
,,Universities and Colleges,,,,,,
,,,Iowa State University,0,0,0,1,28682
,,,University of Iowa,0,2,0,1,29518
,,Metropolitan Counties,,,,,,
,,,Dubuque,0,1,0,0,
,,,Johnson,0,0,1,0,
,,,Polk,0,0,1,0,
,Kansas,Total,,,,,,
,,Cities,,,,,,
,,,Andover,1,1,1,0,11866
,,,Atchison,0,0,0,1,11091
,,,Bel Aire,0,0,1,0,6812
,,,Chanute,0,0,0,1,9177
,,,Clay Center,0,0,1,0,4362
,,,Derby,0,0,0,1,22299
,,,Ellinwood,0,0,1,0,2145
,,,Emporia,0,0,1,0,25074
,,,Fort Scott,0,0,1,0,8138
,,,Haysville,0,0,0,1,10895
,,,Hutchinson,0,1,2,0,42347
,,,Independence,2,0,0,0,9543
,,,Iola,0,1,0,0,5740
,,,Junction City,0,1,0,0,23501
,,,Lansing,0,0,1,0,11337
,,,Lawrence,0,1,0,2,88200
,,,Leavenworth,0,0,0,1,35475
,,,Leawood,0,0,1,0,32069
,,,Louisburg,0,0,1,0,4342
,,,McPherson,0,0,1,0,13239
,,,Overland Park,1,3,1,1,174473
,,,Pittsburg,0,0,1,1,20361
,,,Pratt,0,0,1,0,6878
,,,Salina,2,2,0,0,48010
,,,Sterling,0,0,1,0,2343
,,,Wichita,6,3,6,3,384796
,,Universities and Colleges,,,,,,
,,,Washburn University,0,0,0,1,7230
,,,Wichita State University,1,0,0,0,14577
,,Metropolitan Counties,,,,,,
,,,Jefferson,0,0,0,1,
,,,Johnson,0,0,1,0,
,,,Sedgwick,1,0,0,0,
,,,Shawnee,1,0,0,0,
,,Nonmetropolitan Counties,,,,,,
,,,Ford,0,1,0,0,
,,,Woodson,0,0,1,0,
,Kentucky,Total,,,,,,
,,Cities,,,,,,
,,,Ashland,1,0,1,1,21834
,,,Bardstown,0,0,1,0,11781
,,,Bellevue,0,1,0,0,5996
,,,Berea,1,0,1,0,13655
,,,Bowling Green,1,3,0,2,58468
,,,Campbellsville,0,0,0,2,9171
,,,Covington,1,3,2,1,40921
,,,Cynthiana,1,0,1,1,6446
,,,Dayton,0,1,0,0,5375
,,,Elizabethtown,1,0,2,0,28728
,,,Erlanger,1,1,0,0,22034
,,,Florence,1,2,3,2,30158
,,,Fort Thomas,0,0,1,0,16438
,,,Frankfort,0,0,1,0,25703
,,,Fulton,1,0,0,0,2462
,,,Glasgow,1,0,0,0,14125
,,,Graymoor-Devondale,0,1,0,0,2890
,,,Guthrie,0,0,1,0,1429
,,,Hopkinsville,0,0,2,0,31795
